시군구CODE|시군구명|시도시군구
46900|진도군|전남진도군
46910|신안군|전남신안군
47000|경상북도|경북
47110|포항시|경북포항시
47111|포항시 남구|경북포항시남구
47113|포항시 북구|경북포항시북구
47130|경주시|경북경주시
47150|김천시|경북김천시
47170|안동시|경북안동시
47190|구미시|경북구미시
47210|영주시|경북영주시
47230|영천시|경북영천시
47250|상주시|경북상주시
47280|문경시|경북문경시
47290|경산시|경북경산시
47720|군위군|경북군위군
47730|의성군|경북의성군
47750|청송군|경북청송군
47760|영양군|경북영양군
47770|영덕군|경북영덕군
47820|청도군|경북청도군
47830|고령군|경북고령군
47840|성주군|경북성주군
47850|칠곡군|경북칠곡군
47900|예천군|경북예천군
47920|봉화군|경북봉화군
47930|울진군|경북울진군
47940|울릉군|경북울릉군
48000|경상남도|경남
48120|창원시|경남창원시
48121|창원시 의창구|경남창원시의창구
48123|창원시 성산구|경남창원시성산구
48125|창원시 마산합포구|경남창원시마산합포구
48127|창원시 마산회원구|경남창원시마산회원구
48129|창원시 진해구|경남창원시진해구
48170|진주시|경남진주시
48220|통영시|경남통영시
48240|사천시|경남사천시
48250|김해시|경남김해시
48270|밀양시|경남밀양시
48310|거제시|경남거제시
48330|양산시|경남양산시
48720|의령군|경남의령군
48730|함안군|경남함안군
48740|창녕군|경남창녕군
48820|고성군|경남고성군
48840|남해군|경남남해군
48850|하동군|경남하동군
48860|산청군|경남산청군
48870|함양군|경남함양군
48880|거창군|경남거창군
48890|합천군|경남합천군
49000|제주도|제주
50000|제주특별자치도|제주
50110|제주시|제주제주시
50130|서귀포시|제주서귀포시
