오피스텔매매가격지수_지역코드|오피스텔매매가격지수_지역명|시군구코드현행화|시도명현행화|시군구명현행화
00020003|경기|41133|경기도|성남시 중원구
00020003|경기|41135|경기도|성남시 분당구
00020003|경기|41150|경기도|의정부시
00020003|경기|41170|경기도|안양시
00020003|경기|41171|경기도|안양시 만안구
00020003|경기|41173|경기도|안양시 동안구
00020003|경기|41190|경기도|부천시
00020003|경기|41191|경기도|부천시 중구
00020003|경기|41193|경기도|부천시 남구
00020003|경기|41195|경기도|부천시 원미구
00020003|경기|41197|경기도|부천시 소사구
00020003|경기|41199|경기도|부천시 오정구
00020003|경기|41210|경기도|광명시
00020003|경기|41220|경기도|평택시
00020003|경기|41230|경기도|송탄시
00020003|경기|41250|경기도|동두천시
00020003|경기|41270|경기도|안산시
00020003|경기|41271|경기도|안산시 상록구
00020003|경기|41273|경기도|안산시 단원구
00020003|경기|41280|경기도|고양시
00020003|경기|41281|경기도|고양시 덕양구
00020003|경기|41283|경기도|고양시 일산구
00020003|경기|41285|경기도|고양시 일산동구
00020003|경기|41287|경기도|고양시 일산서구
00020003|경기|41290|경기도|과천시
00020003|경기|41310|경기도|구리시
00020003|경기|41330|경기도|평택시
00020003|경기|41350|경기도|미금시
00020003|경기|41360|경기도|남양주시
00020003|경기|41370|경기도|오산시
00020003|경기|41390|경기도|시흥시
00020003|경기|41410|경기도|군포시
00020003|경기|41430|경기도|의왕시
00020003|경기|41450|경기도|하남시
00020003|경기|41460|경기도|용인시
00020003|경기|41461|경기도|용인시 처인구
00020003|경기|41463|경기도|용인시 기흥구
00020003|경기|41465|경기도|용인시 수지구
00020003|경기|41480|경기도|파주시
00020003|경기|41500|경기도|이천시
00020003|경기|41550|경기도|안성시
00020003|경기|41570|경기도|김포시
00020003|경기|41590|경기도|화성시
00020003|경기|41610|경기도|광주시
00020003|경기|41630|경기도|양주시
00020003|경기|41650|경기도|포천시
00020003|경기|41670|경기도|여주시
00020003|경기|41710|경기도|양주군
00020003|경기|41720|경기도|남양주군
00020003|경기|41730|경기도|여주군
00020003|경기|41740|경기도|평택군
00020003|경기|41750|경기도|화성군
00020003|경기|41760|경기도|시흥군
00020003|경기|41770|경기도|파주군
00020003|경기|41780|경기도|고양군
00020003|경기|41790|경기도|광주군
00020003|경기|41800|경기도|연천군
00020003|경기|41810|경기도|포천군
00020003|경기|41820|경기도|가평군
00020003|경기|41830|경기도|양평군
00020003|경기|41840|경기도|이천군
00020003|경기|41850|경기도|용인군
00020003|경기|41860|경기도|안성군
00020003|경기|41870|경기도|김포군
00020002|인천|41880|경기도|강화군
00020002|인천|41890|경기도|옹진군
0003|지방|42000|강원도|
0003|지방|42050|강원도|울진군
0003|지방|42110|강원도|춘천시
0003|지방|42130|강원도|원주시
0003|지방|42150|강원도|강릉시
0003|지방|42170|강원도|동해시
0003|지방|42190|강원도|태백시
0003|지방|42210|강원도|속초시
0003|지방|42230|강원도|삼척시
0003|지방|42710|강원도|춘성군
0003|지방|42715|강원도|춘천군
0003|지방|42720|강원도|홍천군
0003|지방|42730|강원도|횡성군
0003|지방|42740|강원도|원성군
0003|지방|42745|강원도|원주군
0003|지방|42750|강원도|영월군
0003|지방|42760|강원도|평창군
