산업단지,작업년월
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,20233
녹산,20233
대구,20233
남동,20233
부평,20233
주안,20233
광주첨단,20233
빛그린,20233
온산,20233
울산ㆍ미포,20233
반월,20233
시화,20233
시화MTV,20233
파주탄현,20233
동두천,20233
북평,20233
오송생명과학,20233
석문,20233
아산,20233
장항생태,20233
국가식품클러스터,20233
국가식품클러스터(외),20233
군산,20233
군산2,20233
익산,20233
광양,20233
대불,20233
대불(외국인),20233
여수,20233
구미,20233
구미(외),20233
포항,20233
포항블루밸리,20233
경남항공,20233
밀양나노,20233
안정,20233
진해,20233
창원,20233
계,20233
서울,202305
녹산,202305
대구,202305
남동,202305
부평,202305
주안,202305
광주첨단,202305
빛그린,202305
온산,202305
울산ㆍ미포,202305
반월,202305
시화,202305
시화MTV,202305
파주탄현,202305
동두천,202305
북평,202305
오송생명과학,202305
석문,202305
아산,202305
장항생태,202305
국가식품클러스터,202305
국가식품클러스터(외),202305
군산,202305
군산2,202305
익산,202305
광양,202305
대불,202305
대불(외국인),202305
여수,202305
구미,202305
구미(외),202305
포항,202305
포항블루밸리,202305
경남항공,202305
밀양나노,202305
안정,202305
진해,202305
창원,202305
계,202305
서울,202305
녹산,202305
대구,202305
남동,202305
부평,202305
주안,202305
광주첨단,202305
빛그린,202305
온산,202305
울산ㆍ미포,202305
반월,202305
시화,202305
시화MTV,202305
파주탄현,202305
동두천,202305
북평,202305
오송생명과학,202305
석문,202305
아산,202305
장항생태,202305
국가식품클러스터,202305
국가식품클러스터(외),202305
군산,202305
군산2,202305
익산,202305
광양,202305
대불,202305
대불(외국인),202305
여수,202305
구미,202305
구미(외),202305
포항,202305
포항블루밸리,202305
경남항공,202305
밀양나노,202305
안정,202305
진해,202305
창원,202305
계,202305
서울,202304
녹산,202304
대구,202304
남동,202304
부평,202304
주안,202304
광주첨단,202304
빛그린,202304
온산,202304
울산ㆍ미포,202304
반월,202304
시화,202304
시화MTV,202304
파주탄현,202304
동두천,202304
북평,202304
오송생명과학,202304
석문,202304
아산,202304
장항생태,202304
국가식품클러스터,202304
국가식품클러스터(외),202304
군산,202304
군산2,202304
익산,202304
광양,202304
대불,202304
대불(외국인),202304
여수,202304
구미,202304
구미(외),202304
포항,202304
포항블루밸리,202304
경남항공,202304
밀양나노,202304
안정,202304
진해,202304
창원,202304
계,202304
서울,202303
녹산,202303
대구,202303
남동,202303
부평,202303
주안,202303
광주첨단,202303
빛그린,202303
온산,202303
울산ㆍ미포,202303
반월,202303
시화,202303
시화MTV,202303
파주탄현,202303
동두천,202303
북평,202303
오송생명과학,202303
석문,202303
아산,202303
장항생태,202303
국가식품클러스터,202303
국가식품클러스터(외),202303
군산,202303
군산2,202303
익산,202303
광양,202303
대불,202303
대불(외국인),202303
여수,202303
구미,202303
구미(외),202303
포항,202303
포항블루밸리,202303
경남항공,202303
밀양나노,202303
안정,202303
진해,202303
창원,202303
계,202303
서울,202302
녹산,202302
대구,202302
남동,202302
부평,202302
주안,202302
광주첨단,202302
빛그린,202302
온산,202302
울산ㆍ미포,202302
반월,202302
시화,202302
시화MTV,202302
파주탄현,202302
동두천,202302
북평,202302
오송생명과학,202302
석문,202302
아산,202302
장항생태,202302
국가식품클러스터,202302
국가식품클러스터(외),202302
군산,202302
군산2,202302
익산,202302
광양,202302
대불,202302
대불(외국인),202302
여수,202302
구미,202302
구미(외),202302
포항,202302
포항블루밸리,202302
경남항공,202302
밀양나노,202302
안정,202302
진해,202302
창원,202302
계,202302
서울,202301
녹산,202301
대구,202301
남동,202301
부평,202301
주안,202301
광주첨단,202301
