47190|구미시|경상북도구미시
48000|경상남도|경상남도
48120|창원시|경상남도창원시
48121|창원시 의창구|경상남도창원시의창구
48123|창원시 성산구|경상남도창원시성산구
48125|창원시 마산합포구|경상남도창원시마산합포구
48127|창원시 마산회원구|경상남도창원시마산회원구
48129|창원시 진해구|경상남도창원시진해구
48150|마산시|경상남도마산시
48170|진주시|경상남도진주시
48190|진해시|경상남도진해시
48250|김해시|경상남도김해시
49000|제주도|제주특별자치도
50000|제주특별자치도|제주특별자치도
50110|제주시|제주특별자치도제주시
50130|서귀포시|제주특별자치도서귀포시
