작업월,개수
20211001,83
20211101,83
20211201,83
20220101,83
20220201,83
20220301,83
20220401,83
20220501,83
20220601,83
20220701,83
20220801,83
20220901,83
20221001,83
20221101,83
20221201,83
20230101,83
20230201,83
20230301,83
20230401,83
20230501,83
20230601,83
