num,file_name,day,crawling
8,전국주택 매매가격지수,20,성공
9,오피스텔 매매가격지수,20,성공
32,이용상황별 지가변동률,20,성공
33_51,공동주택 통합 매매실거래가격지수 ~ 연립 다세대 매매 평균가격,20,성공
52,경기종합지수(2020=100) (10차),20,성공
53,품목별 소비자물가지수(품목성질별: 2020=100),20,성공
54,생산자물가지수(품목별)(2020=100),20,성공
69,공사완료후 미분양현황,20,성공
73,공동주택현황,20,성공
86,이용상황별 지가지수,20,성공
87,주요정책사업(혁신도시) 지가지수,20,성공
88,예금취급기관의 가계대출[주택담보대출+기타대출] 지역별(월별),20,성공
